id_prov;prov;var1;var2;svar1;svar2;value;value_abs;covar;len_serie1;len_serie2
66;Salta;V__TIPVV_01_PORC;V__V00_07_PORC;Viviendas particulares PORC;Cuartel PORC;-0.935;0.935;-5.895;1358;1358
66;Salta;P__08_03_PORC;P__07_02_PORC;Nunca asistio PORC;No sabe leer y escribir PORC;0.909;0.909;23.605;1358;1358
66;Salta;V__V00_05_PORC;V__TIPVV_01_PORC;Hospital PORC;Viviendas particulares PORC;-0.932;0.932;-1.504;1358;1358
66;Salta;V__V00_05_PORC;V__TIPVV_02_PORC;Hospital PORC;Viviendas colectivas PORC;0.932;0.932;1.504;1358;1358
66;Salta;V__INCALSERV_03_PORC;V__INCALCONS_03_PORC;Calidad de Servicios BasicosInsuficiente PORC;Calidad constructiva Insuficiente PORC;0.930;0.930;744.395;1358;1358
66;Salta;V__INCALCONS_03_PORC;V__INCALSERV_03_PORC;Calidad constructiva Insuficiente PORC;Calidad de Servicios BasicosInsuficiente PORC;0.930;0.930;744.395;1358;1358
66;Salta;P__09_02_PORC;P__12_02_PORC;Primario PORC;No utiliza computadora PORC;0.902;0.902;293.234;1358;1358
66;Salta;H__19D_02_PORC;H__19B_02_PORC;Sin teléfono de línea PORC;Sin computadora PORC;0.934;0.934;583.322;1358;1358
66;Salta;H__19D_02_PORC;H__19B_01_PORC;Sin teléfono de línea PORC;Con computadora PORC;-0.917;0.917;-567.354;1358;1358
66;Salta;H__19A_02_PORC;H__14_06_PORC;Sin Heladera PORC;Leña o carbón PORC;0.922;0.922;952.739;1358;1358
66;Salta;P__07_02_PORC;P__08_03_PORC;No sabe leer y escribir PORC;Nunca asistio PORC;0.909;0.909;23.605;1358;1358
66;Salta;V__V00_07_PORC;V__TIPVV_01_PORC;Cuartel PORC;Viviendas particulares PORC;-0.935;0.935;-5.895;1358;1358
66;Salta;V__V00_07_PORC;V__TIPVV_02_PORC;Cuartel PORC;Viviendas colectivas PORC;0.935;0.935;5.895;1358;1358
66;Salta;V__02_01_PORC;V__TOTHOG_01_PORC;Con personas presentes PORC;Con un hogar PORC;0.910;0.910;215.583;1358;1358
66;Salta;H__05_01_PORC;H__19B_02_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Sin computadora PORC;-0.906;0.906;-668.027;1358;1358
66;Salta;H__05_01_PORC;H__19B_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Con computadora PORC;0.927;0.927;677.193;1358;1358
66;Salta;H__05_01_PORC;V__INCALCONS_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Calidad constructiva Satisfactoria PORC;0.939;0.939;651.103;1358;1358
66;Salta;H__05_01_PORC;H__19D_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Con teléfono de línea PORC;0.900;0.900;802.846;1358;1358
66;Salta;H__05_01_PORC;V__INMAT_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Calidad 1 PORC;0.940;0.940;651.475;1358;1358
66;Salta;H__19B_02_PORC;P__12_02_PORC;Sin computadora PORC;No utiliza computadora PORC;0.944;0.944;442.416;1358;1358
66;Salta;H__19B_02_PORC;H__19D_02_PORC;Sin computadora PORC;Sin teléfono de línea PORC;0.934;0.934;583.322;1358;1358
66;Salta;H__19B_02_PORC;H__05_01_PORC;Sin computadora PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;-0.906;0.906;-668.027;1358;1358
66;Salta;H__19B_02_PORC;P__12_01_PORC;Sin computadora PORC;Si tiliza computadora PORC;-0.929;0.929;-431.925;1358;1358
66;Salta;H__19B_02_PORC;H__19D_01_PORC;Sin computadora PORC;Con teléfono de línea PORC;-0.914;0.914;-567.209;1358;1358
66;Salta;H__14_01_PORC;H__19D_01_PORC;Gas de red PORC;Con teléfono de línea PORC;0.905;0.905;919.156;1358;1358
66;Salta;H__19B_01_PORC;P__12_02_PORC;Con computadora PORC;No utiliza computadora PORC;-0.924;0.924;-429.041;1358;1358
66;Salta;H__19B_01_PORC;H__19D_02_PORC;Con computadora PORC;Sin teléfono de línea PORC;-0.917;0.917;-567.354;1358;1358
66;Salta;H__19B_01_PORC;H__05_01_PORC;Con computadora PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.927;0.927;677.193;1358;1358
66;Salta;H__19B_01_PORC;P__12_01_PORC;Con computadora PORC;Si tiliza computadora PORC;0.954;0.954;439.074;1358;1358
66;Salta;H__19B_01_PORC;H__19D_01_PORC;Con computadora PORC;Con teléfono de línea PORC;0.933;0.933;573.300;1358;1358
66;Salta;P__12_01_PORC;H__19B_02_PORC;Si tiliza computadora PORC;Sin computadora PORC;-0.929;0.929;-431.925;1358;1358
66;Salta;P__12_01_PORC;H__19B_01_PORC;Si tiliza computadora PORC;Con computadora PORC;0.954;0.954;439.074;1358;1358
66;Salta;P__12_01_PORC;H__19D_01_PORC;Si tiliza computadora PORC;Con teléfono de línea PORC;0.904;0.904;508.431;1358;1358
66;Salta;V__INCALSERV_01_PORC;H__12_01_PORC;Calidad de Servicios Basicos Satisfactorio PORC;A red publica (cloaca) PORC;0.983;0.983;1596.035;1358;1358
66;Salta;H__19A_01_PORC;H__14_06_PORC;Con Heladera PORC;Leña o carbón PORC;-0.911;0.911;-947.000;1358;1358
66;Salta;H__07_01_PORC;V__INCALCONS_01_PORC;Con revestimiento interior o cielorraso del techo PORC;Calidad constructiva Satisfactoria PORC;0.907;0.907;492.656;1358;1358
66;Salta;H__07_01_PORC;V__INMAT_01_PORC;Con revestimiento interior o cielorraso del techo PORC;Calidad 1 PORC;0.912;0.912;495.385;1358;1358
66;Salta;V__URP_03_PORC;H__09_01_PORC;Area Rural disperso PORC;Red pública PORC;-0.921;0.921;-1568.843;1358;1358
66;Salta;V__INCALCONS_01_PORC;H__05_01_PORC;Calidad constructiva Satisfactoria PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.939;0.939;651.103;1358;1358
66;Salta;V__INCALCONS_01_PORC;H__07_01_PORC;Calidad constructiva Satisfactoria PORC;Con revestimiento interior o cielorraso del techo PORC;0.907;0.907;492.656;1358;1358
66;Salta;V__INCALCONS_01_PORC;V__INMAT_01_PORC;Calidad constructiva Satisfactoria PORC;Calidad 1 PORC;0.997;0.997;451.892;1358;1358
66;Salta;H__19D_01_PORC;H__05_01_PORC;Con teléfono de línea PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.900;0.900;802.846;1358;1358
66;Salta;H__19D_01_PORC;H__19B_02_PORC;Con teléfono de línea PORC;Sin computadora PORC;-0.914;0.914;-567.209;1358;1358
66;Salta;H__19D_01_PORC;H__14_01_PORC;Con teléfono de línea PORC;Gas de red PORC;0.905;0.905;919.156;1358;1358
66;Salta;H__19D_01_PORC;H__19B_01_PORC;Con teléfono de línea PORC;Con computadora PORC;0.933;0.933;573.300;1358;1358
66;Salta;H__19D_01_PORC;P__12_01_PORC;Con teléfono de línea PORC;Si tiliza computadora PORC;0.904;0.904;508.431;1358;1358
66;Salta;H__08_01_PORC;H__11_01_PORC;Por cañeria dentro de la vivienda PORC;Si tiene cadena y mochila en el baño PORC;0.960;0.960;1097.997;1358;1358
66;Salta;V__TIPVV_02_PORC;V__V00_05_PORC;Viviendas colectivas PORC;Hospital PORC;0.932;0.932;1.504;1358;1358
66;Salta;V__TIPVV_02_PORC;V__V00_07_PORC;Viviendas colectivas PORC;Cuartel PORC;0.935;0.935;5.895;1358;1358
66;Salta;V__INMAT_04_PORC;H__05_03_PORC;Calidad 4 PORC;Tierra o ladrillo suelto PORC;0.919;0.919;569.939;1358;1358
66;Salta;V__INMAT_01_PORC;H__05_01_PORC;Calidad 1 PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.940;0.940;651.475;1358;1358
66;Salta;V__INMAT_01_PORC;H__07_01_PORC;Calidad 1 PORC;Con revestimiento interior o cielorraso del techo PORC;0.912;0.912;495.385;1358;1358
66;Salta;V__INMAT_01_PORC;V__INCALCONS_01_PORC;Calidad 1 PORC;Calidad constructiva Satisfactoria PORC;0.997;0.997;451.892;1358;1358
82;Santa Fe;H__12_01_PORC;V__INCALSERV_01_PORC;A red publica (cloaca) PORC;Calidad de Servicios Basicos Satisfactorio PORC;0.953;0.953;1443.369;3779;3779
82;Santa Fe;H__11_01_PORC;H__08_01_PORC;Si tiene cadena y mochila en el baño PORC;Por cañeria dentro de la vivienda PORC;0.936;0.936;313.843;3779;3779
82;Santa Fe;P__12_02_PORC;P__09_02_PORC;No utiliza computadora PORC;Primario PORC;0.902;0.902;243.301;3779;3779
82;Santa Fe;P__12_02_PORC;H__19B_02_PORC;No utiliza computadora PORC;Sin computadora PORC;0.951;0.951;326.698;3779;3779
82;Santa Fe;P__12_02_PORC;H__19B_01_PORC;No utiliza computadora PORC;Con computadora PORC;-0.926;0.926;-317.269;3779;3779
82;Santa Fe;V__INCALCONS_03_PORC;H__11_02_PORC;Calidad constructiva Insuficiente PORC;No tiene cadena y mochila en el baño PORC;0.914;0.914;203.334;3779;3779
82;Santa Fe;V__V00_10_PORC;H__14_07_PORC;Otros PORC;Otro PORC;0.930;0.930;0.440;3779;3779
82;Santa Fe;P__09_02_PORC;P__12_02_PORC;Primario PORC;No utiliza computadora PORC;0.902;0.902;243.301;3779;3779
82;Santa Fe;P__09_02_PORC;H__19B_02_PORC;Primario PORC;Sin computadora PORC;0.905;0.905;281.623;3779;3779
82;Santa Fe;H__11_02_PORC;V__INCALCONS_03_PORC;No tiene cadena y mochila en el baño PORC;Calidad constructiva Insuficiente PORC;0.914;0.914;203.334;3779;3779
82;Santa Fe;H__19B_02_PORC;P__12_02_PORC;Sin computadora PORC;No utiliza computadora PORC;0.951;0.951;326.698;3779;3779
82;Santa Fe;H__19B_02_PORC;P__09_02_PORC;Sin computadora PORC;Primario PORC;0.905;0.905;281.623;3779;3779
82;Santa Fe;H__19B_02_PORC;P__12_01_PORC;Sin computadora PORC;Si tiliza computadora PORC;-0.924;0.924;-322.120;3779;3779
82;Santa Fe;H__19B_01_PORC;P__12_02_PORC;Con computadora PORC;No utiliza computadora PORC;-0.926;0.926;-317.269;3779;3779
82;Santa Fe;H__19B_01_PORC;P__12_01_PORC;Con computadora PORC;Si tiliza computadora PORC;0.957;0.957;332.695;3779;3779
82;Santa Fe;P__12_01_PORC;H__19B_02_PORC;Si tiliza computadora PORC;Sin computadora PORC;-0.924;0.924;-322.120;3779;3779
82;Santa Fe;P__12_01_PORC;H__19B_01_PORC;Si tiliza computadora PORC;Con computadora PORC;0.957;0.957;332.695;3779;3779
82;Santa Fe;V__INCALSERV_01_PORC;H__12_01_PORC;Calidad de Servicios Basicos Satisfactorio PORC;A red publica (cloaca) PORC;0.953;0.953;1443.369;3779;3779
82;Santa Fe;V__INCALCONS_01_PORC;V__INMAT_01_PORC;Calidad constructiva Satisfactoria PORC;Calidad 1 PORC;0.993;0.993;393.916;3779;3779
82;Santa Fe;H__08_01_PORC;H__11_01_PORC;Por cañeria dentro de la vivienda PORC;Si tiene cadena y mochila en el baño PORC;0.936;0.936;313.843;3779;3779
82;Santa Fe;H__14_07_PORC;V__V00_10_PORC;Otro PORC;Otros PORC;0.930;0.930;0.440;3779;3779
82;Santa Fe;V__INMAT_01_PORC;V__INCALCONS_01_PORC;Calidad 1 PORC;Calidad constructiva Satisfactoria PORC;0.993;0.993;393.916;3779;3779
86;Santiago del Estero;H__06_07_PORC;H__05_03_PORC;Caña, palma, tabla o paja con o sin barro PORC;Tierra o ladrillo suelto PORC;0.932;0.932;778.559;1040;1040
86;Santiago del Estero;H__06_07_PORC;V__01_02_PORC;Caña, palma, tabla o paja con o sin barro PORC;Rancho PORC;0.950;0.950;679.970;1040;1040
86;Santiago del Estero;H__06_07_PORC;V__INMAT_04_PORC;Caña, palma, tabla o paja con o sin barro PORC;Calidad 4 PORC;0.936;0.936;710.294;1040;1040
86;Santiago del Estero;H__14_06_PORC;H__05_03_PORC;Leña o carbón PORC;Tierra o ladrillo suelto PORC;0.941;0.941;966.252;1040;1040
86;Santiago del Estero;H__14_06_PORC;V__INMAT_04_PORC;Leña o carbón PORC;Calidad 4 PORC;0.926;0.926;863.894;1040;1040
86;Santiago del Estero;H__12_01_PORC;V__INCALSERV_01_PORC;A red publica (cloaca) PORC;Calidad de Servicios Basicos Satisfactorio PORC;0.961;0.961;824.717;1040;1040
86;Santiago del Estero;H__ALGUNBI_02_PORC;H__10_02_PORC;Al menos un indicador NBI PORC;HOGAR NO Tiene baño o letrina PORC;0.933;0.933;213.455;1040;1040
86;Santiago del Estero;H__11_01_PORC;V__INCALSERV_03_PORC;Si tiene cadena y mochila en el baño PORC;Calidad de Servicios BasicosInsuficiente PORC;-0.914;0.914;-1013.897;1040;1040
86;Santiago del Estero;H__11_01_PORC;V__INCALCONS_03_PORC;Si tiene cadena y mochila en el baño PORC;Calidad constructiva Insuficiente PORC;-0.951;0.951;-1069.889;1040;1040
86;Santiago del Estero;H__11_01_PORC;H__05_01_PORC;Si tiene cadena y mochila en el baño PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.957;0.957;1168.147;1040;1040
86;Santiago del Estero;H__11_01_PORC;P__12_01_PORC;Si tiene cadena y mochila en el baño PORC;Si tiliza computadora PORC;0.901;0.901;654.607;1040;1040
86;Santiago del Estero;H__11_01_PORC;H__07_01_PORC;Si tiene cadena y mochila en el baño PORC;Con revestimiento interior o cielorraso del techo PORC;0.902;0.902;875.872;1040;1040
86;Santiago del Estero;H__11_01_PORC;V__INCALCONS_01_PORC;Si tiene cadena y mochila en el baño PORC;Calidad constructiva Satisfactoria PORC;0.917;0.917;762.878;1040;1040
86;Santiago del Estero;H__11_01_PORC;H__08_01_PORC;Si tiene cadena y mochila en el baño PORC;Por cañeria dentro de la vivienda PORC;0.986;0.986;1311.409;1040;1040
86;Santiago del Estero;H__11_01_PORC;V__INMAT_01_PORC;Si tiene cadena y mochila en el baño PORC;Calidad 1 PORC;0.912;0.912;753.076;1040;1040
86;Santiago del Estero;P__12_02_PORC;P__09_02_PORC;No utiliza computadora PORC;Primario PORC;0.930;0.930;355.362;1040;1040
86;Santiago del Estero;P__12_02_PORC;H__19B_02_PORC;No utiliza computadora PORC;Sin computadora PORC;0.939;0.939;374.994;1040;1040
86;Santiago del Estero;P__12_02_PORC;H__19B_01_PORC;No utiliza computadora PORC;Con computadora PORC;-0.910;0.910;-355.149;1040;1040
86;Santiago del Estero;H__05_03_PORC;H__06_07_PORC;Tierra o ladrillo suelto PORC;Caña, palma, tabla o paja con o sin barro PORC;0.932;0.932;778.559;1040;1040
86;Santiago del Estero;H__05_03_PORC;H__14_06_PORC;Tierra o ladrillo suelto PORC;Leña o carbón PORC;0.941;0.941;966.252;1040;1040
86;Santiago del Estero;H__05_03_PORC;V__01_02_PORC;Tierra o ladrillo suelto PORC;Rancho PORC;0.929;0.929;764.808;1040;1040
86;Santiago del Estero;H__05_03_PORC;V__INMAT_04_PORC;Tierra o ladrillo suelto PORC;Calidad 4 PORC;0.983;0.983;858.140;1040;1040
86;Santiago del Estero;V__INCALSERV_03_PORC;H__11_01_PORC;Calidad de Servicios BasicosInsuficiente PORC;Si tiene cadena y mochila en el baño PORC;-0.914;0.914;-1013.897;1040;1040
86;Santiago del Estero;V__INCALSERV_03_PORC;V__INCALCONS_03_PORC;Calidad de Servicios BasicosInsuficiente PORC;Calidad constructiva Insuficiente PORC;0.958;0.958;937.471;1040;1040
86;Santiago del Estero;V__INCALSERV_03_PORC;H__05_01_PORC;Calidad de Servicios BasicosInsuficiente PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;-0.903;0.903;-958.706;1040;1040
86;Santiago del Estero;V__INCALSERV_03_PORC;H__08_01_PORC;Calidad de Servicios BasicosInsuficiente PORC;Por cañeria dentro de la vivienda PORC;-0.918;0.918;-1061.992;1040;1040
86;Santiago del Estero;V__INCALSERV_02_PORC;H__12_02_PORC;Calidad de Servicios Basicos Basico PORC;A cámara séptica y pozo ciego PORC;0.921;0.921;544.144;1040;1040
86;Santiago del Estero;V__INCALCONS_03_PORC;H__11_01_PORC;Calidad constructiva Insuficiente PORC;Si tiene cadena y mochila en el baño PORC;-0.951;0.951;-1069.889;1040;1040
86;Santiago del Estero;V__INCALCONS_03_PORC;V__INCALSERV_03_PORC;Calidad constructiva Insuficiente PORC;Calidad de Servicios BasicosInsuficiente PORC;0.958;0.958;937.471;1040;1040
86;Santiago del Estero;V__INCALCONS_03_PORC;H__11_02_PORC;Calidad constructiva Insuficiente PORC;No tiene cadena y mochila en el baño PORC;0.908;0.908;782.867;1040;1040
86;Santiago del Estero;V__INCALCONS_03_PORC;H__05_01_PORC;Calidad constructiva Insuficiente PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;-0.937;0.937;-1009.272;1040;1040
86;Santiago del Estero;V__INCALCONS_03_PORC;H__08_01_PORC;Calidad constructiva Insuficiente PORC;Por cañeria dentro de la vivienda PORC;-0.953;0.953;-1118.255;1040;1040
86;Santiago del Estero;P__09_02_PORC;P__12_02_PORC;Primario PORC;No utiliza computadora PORC;0.930;0.930;355.362;1040;1040
86;Santiago del Estero;P__09_02_PORC;H__19B_02_PORC;Primario PORC;Sin computadora PORC;0.912;0.912;340.902;1040;1040
